HH,AI,GT15-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,JT01-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,JT02-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,JT03-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,JT04-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,JT05-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,JT06-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,JT07-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,JT08-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,JT09-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,JT10-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,JT11-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,JT12-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,LT01-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,LT02-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:19
HH,AI,LT03-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:20
HH,AI,LT04-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:20
HH,AI,NT01-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:20
HH,AI,NT02-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:20
HH,AI,NT03-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:20
HH,AI,NT04-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:20
HH,AI,RT01-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:20
HH,AI,RT02-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:20
HH,AI,RT03-T|AI,2020-02-19 17:13:17,Y,N,HH,2020-02-19 23:14:20
HH,AI,AT01-L|AI,2020-02-24 21:37:50,Y,N,HH,2020-02-25 03:38:00
HH,AI,LT01-L|AI,2020-02-24 22:46:50,Y,N,HH,2020-02-25 04:47:01
HH,AI,AT02-L|AI,2020-03-01 13:55:50,Y,N,HH,2020-03-01 19:56:00
HH,AI,AT01-L|AI,2020-03-01 14:00:50,Y,N,HH,2020-03-01 20:01:00
HH,AI,LT02-L|AI,2020-03-01 17:33:50,Y,N,HH,2020-03-01 23:34:00
HH,AI,LT03-L|AI,2020-03-01 17:34:50,Y,N,HH,2020-03-01 23:35:00
HH,AI,LT01-L|AI,2020-03-02 07:58:50,Y,N,HH,2020-03-02 13:59:01
HH,AI,LT01-L|AI,2020-03-04 07:42:50,Y,N,HH,2020-03-04 13:43:00
HH,AI,LT03-L|AI,2020-03-04 20:20:50,Y,N,HH,2020-03-05 02:21:01
HH,AI,AT01-L|AI,2020-03-14 11:15:30,Y,N,HH,2020-03-14 16:16:00
HH,AI,AT03-L|AI,2020-03-14 12:34:50,Y,N,HH,2020-03-14 17:35:00
HH,AI,AT02-L|AI,2020-03-14 13:42:40,Y,N,HH,2020-03-14 18:43:00
HH,AI,LT02-L|AI,2020-03-17 01:51:20,Y,N,HH,2020-03-17 06:52:01
HH,AI,LT01-L|AI,2020-03-17 02:55:10,Y,N,HH,2020-03-17 07:56:01
HH,AI,LT03-L|AI,2020-03-18 04:21:30,Y,N,HH,2020-03-18 09:22:03
HH,AI,LT02-L|AI,2020-03-19 10:52:20,Y,N,HH,2020-03-19 15:53:01
HH,AI,X-SINE|AI,2020-03-21 18:00:00,Y,N,HH,2020-03-21 23:01:00
HH,AI,XSINE|AI,2020-03-22 06:00:00,Y,N,HH,2020-03-22 11:01:01
HH,AI,X-SINE|AI,2020-03-22 18:00:00,Y,N,HH,2020-03-22 23:01:00
HH,AI,XSINE|AI,2020-03-23 06:00:01,Y,N,HH,2020-03-23 11:01:01
HH,AI,X-SINE|AI,2020-03-23 18:00:01,Y,N,HH,2020-03-23 23:01:02
HH,AI,XSINE|AI,2020-03-24 06:00:01,Y,N,HH,2020-03-24 11:01:01
HH,AI,XSINE|AI,2020-03-27 06:00:00,Y,N,HH,2020-03-27 11:01:00
HH,AI,X-SINE|AI,2020-03-27 18:00:00,Y,N,HH,2020-03-27 23:01:00
HH,AI,XSINE|AI,2020-03-28 06:00:01,Y,N,HH,2020-03-28 11:01:01
HH,AI,X-SINE|AI,2020-03-28 18:00:00,Y,N,HH,2020-03-28 23:01:00
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-02-18 07:21:02
HI,AI,DCL-0000|AI,2020-02-18 05:53:00,Y,N,HI,2020-02-18 16:21:08
HI,AI,CT01-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,CT02-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,CT03-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,CT04-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,CT05-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,CT06-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,CT07-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,CT08-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,CT09-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,CT10-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,CT11-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,CT12-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,FT01-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,FT02-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,FT03-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,FT04-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,FT05-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,FT06-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,FT07-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:12
HI,AI,FT08-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:13
HI,AI,FT09-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:13
HI,AI,FT10-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:13
HI,AI,FT11-L|AI,2020-02-19 17:13:17,Y,N,HI,2020-02-19 23:14:13
HI,AI,AT01-T|AI,2020-02-19 22:51:00,Y,N,HI,2020-02-20 04:52:01
HI,AI,AT02-T|AI,2020-02-19 22:56:01,Y,N,HI,2020-02-20 04:57:00
HI,AI,AT04-T|AI,2020-02-19 22:57:00,Y,N,HI,2020-02-20 04:58:00
HI,AI,AT03-T|AI,2020-02-19 22:58:00,Y,N,HI,2020-02-20 04:59:00
HI,AI,CT01-T|AI,2020-02-19 22:59:00,Y,N,HI,2020-02-20 05:00:00
HI,AI,CT02-T|AI,2020-02-19 22:59:00,Y,N,HI,2020-02-20 05:00:02
HI,AI,CT03-T|AI,2020-02-19 23:02:00,Y,N,HI,2020-02-20 05:03:00
HI,AI,CT04-T|AI,2020-02-19 23:02:00,Y,N,HI,2020-02-20 05:03:00
HI,AI,CT05-T|AI,2020-02-19 23:02:00,Y,N,HI,2020-02-20 05:03:00
HI,AI,CT06-T|AI,2020-02-19 23:02:00,Y,N,HI,2020-02-20 05:03:00
HI,AI,CT07-T|AI,2020-02-19 23:03:00,Y,N,HI,2020-02-20 05:04:00
HI,AI,CT08-T|AI,2020-02-19 23:03:00,Y,N,HI,2020-02-20 05:04:00
HI,AI,CT09-T|AI,2020-02-19 23:05:00,Y,N,HI,2020-02-20 05:06:00
HI,AI,CT10-T|AI,2020-02-19 23:05:00,Y,N,HI,2020-02-20 05:06:00
HI,AI,CT11-T|AI,2020-02-19 23:05:00,Y,N,HI,2020-02-20 05:06:00
HI,AI,CT12-T|AI,2020-02-19 23:06:00,Y,N,HI,2020-02-20 05:07:00
HI,AI,FT01-T|AI,2020-02-19 23:10:00,Y,N,HI,2020-02-20 05:11:00
HI,AI,FT02-T|AI,2020-02-19 23:10:00,Y,N,HI,2020-02-20 05:11:00
HI,AI,FT03-T|AI,2020-02-19 23:10:00,Y,N,HI,2020-02-20 05:11:00
HI,AI,FT04-T|AI,2020-02-19 23:10:00,Y,N,HI,2020-02-20 05:11:00
HI,AI,FT05-T|AI,2020-02-19 23:10:00,Y,N,HI,2020-02-20 05:11:00
HI,AI,FT06-T|AI,2020-02-19 23:10:00,Y,N,HI,2020-02-20 05:11:00
HI,AI,FT07-T|AI,2020-02-19 23:10:00,Y,N,HI,2020-02-20 05:11:00
HI,AI,FT08-T|AI,2020-02-19 23:11:01,Y,N,HI,2020-02-20 05:12:00
HI,AI,FT09-T|AI,2020-02-19 23:12:00,Y,N,HI,2020-02-20 05:13:00
HI,AI,FT10-T|AI,2020-02-19 23:12:00,Y,N,HI,2020-02-20 05:13:00
HI,AI,FT11-T|AI,2020-02-19 23:13:01,Y,N,HI,2020-02-20 05:14:00
HI,AI,GT01-T|AI,2020-02-19 23:15:00,Y,N,HI,2020-02-20 05:16:00
HI,AI,GT02-T|AI,2020-02-19 23:16:00,Y,N,HI,2020-02-20 05:17:00
HI,AI,GT03-T|AI,2020-02-19 23:16:00,Y,N,HI,2020-02-20 05:17:00
HI,AI,GT04-T|AI,2020-02-19 23:17:01,Y,N,HI,2020-02-20 05:18:00
HI,AI,GT05-T|AI,2020-02-19 23:17:01,Y,N,HI,2020-02-20 05:18:00
HI,AI,GT06-T|AI,2020-02-19 23:17:01,Y,N,HI,2020-02-20 05:18:00
HI,AI,GT07-T|AI,2020-02-19 23:19:01,Y,N,HI,2020-02-20 05:20:00
HI,AI,GT08-T|AI,2020-02-19 23:20:26,Y,N,HI,2020-02-20 05:21:01
HI,AI,GT09-T|AI,2020-02-19 23:20:26,Y,N,HI,2020-02-20 05:21:01
HI,AI,GT10-T|AI,2020-02-19 23:20:26,Y,N,HI,2020-02-20 05:21:01
HI,AI,GT11-T|AI,2020-02-19 23:20:26,Y,N,HI,2020-02-20 05:21:01
HI,AI,GT12-T|AI,2020-02-19 23:20:26,Y,N,HI,2020-02-20 05:21:01
HI,AI,GT13-T|AI,2020-02-19 23:20:26,Y,N,HI,2020-02-20 05:21:01
HI,AI,GT14-T|AI,2020-02-19 23:20:26,Y,N,HI,2020-02-20 05:21:01
HI,AI,GT15-T|AI,2020-02-19 23:20:26,Y,N,HI,2020-02-20 05:21:01
HI,AI,JT01-T|AI,2020-02-19 23:20:26,Y,N,HI,2020-02-20 05:21:01
HI,AI,JT02-T|AI,2020-02-19 23:20:26,Y,N,HI,2020-02-20 05:21:01
HI,AI,JT03-T|AI,2020-02-19 23:22:00,Y,N,HI,2020-02-20 05:23:00
HI,AI,JT04-T|AI,2020-02-19 23:22:00,Y,N,HI,2020-02-20 05:23:00
HI,AI,JT05-T|AI,2020-02-19 23:22:00,Y,N,HI,2020-02-20 05:23:00
HI,AI,JT06-T|AI,2020-02-19 23:22:00,Y,N,HI,2020-02-20 05:23:00
HI,AI,JT07-T|AI,2020-02-19 23:22:00,Y,N,HI,2020-02-20 05:23:00
HI,AI,LT01-T|AI,2020-02-19 23:24:00,Y,N,HI,2020-02-20 05:25:00
HI,AI,LT02-T|AI,2020-02-19 23:24:00,Y,N,HI,2020-02-20 05:25:00
HI,AI,JT08-T|AI,2020-02-19 23:25:00,Y,N,HI,2020-02-20 05:26:00
HI,AI,JT09-T|AI,2020-02-19 23:25:00,Y,N,HI,2020-02-20 05:26:00
HI,AI,JT10-T|AI,2020-02-19 23:27:00,Y,N,HI,2020-02-20 05:28:01
HI,AI,JT11-T|AI,2020-02-19 23:27:00,Y,N,HI,2020-02-20 05:28:01
HI,AI,JT12-T|AI,2020-02-19 23:27:00,Y,N,HI,2020-02-20 05:28:01
HI,AI,LT03-T|AI,2020-02-19 23:27:00,Y,N,HI,2020-02-20 05:28:01
HI,AI,LT04-T|AI,2020-02-19 23:27:00,Y,N,HI,2020-02-20 05:28:01
HI,AI,NT01-T|AI,2020-02-19 23:30:00,Y,N,HI,2020-02-20 05:31:01
HI,AI,NT02-T|AI,2020-02-19 23:30:00,Y,N,HI,2020-02-20 05:31:01
HI,AI,NT03-T|AI,2020-02-19 23:30:00,Y,N,HI,2020-02-20 05:31:01
HI,AI,NT04-T|AI,2020-02-19 23:30:00,Y,N,HI,2020-02-20 05:31:01
HI,AI,RT01-T|AI,2020-02-19 23:34:00,Y,N,HI,2020-02-20 05:35:00
HI,AI,RT02-T|AI,2020-02-19 23:34:00,Y,N,HI,2020-02-20 05:35:01
HI,AI,RT03-T|AI,2020-02-19 23:35:00,Y,N,HI,2020-02-20 05:36:00
HI,AI,AT02-L|AI,2020-02-23 23:56:00,Y,N,HI,2020-02-24 05:57:00
HI,AI,AT04-L|AI,2020-02-24 06:40:02,Y,N,HI,2020-02-24 12:41:00
HI,AI,LT03-L|AI,2020-02-24 06:48:00,Y,N,HI,2020-02-24 12:49:00
HI,AI,LT04-L|AI,2020-02-24 07:40:01,Y,N,HI,2020-02-24 13:41:00
HI,AI,LT01-L|AI,2020-02-24 07:51:00,Y,N,HI,2020-02-24 13:52:00
HI,AI,AT01-L|AI,2020-02-24 09:16:00,Y,N,HI,2020-02-24 15:17:00
HI,AI,AT03-L|AI,2020-02-24 09:38:00,Y,N,HI,2020-02-24 15:39:00
HI,AI,NT04-L|AI,2020-02-25 00:19:50,N,Y,HI,2020-02-25 06:20:00
HI,AI,LT02-L|AI,2020-02-25 00:40:50,Y,N,HI,2020-02-25 06:41:00
HI,AI,AT01-L|AI,2020-02-27 00:07:50,Y,N,HI,2020-02-27 06:08:00
HI,AI,LT01-L|AI,2020-02-27 00:10:50,Y,N,HI,2020-02-27 06:11:00
HI,AI,AT02-L|AI,2020-02-27 18:42:53,Y,N,HI,2020-02-28 00:43:00
HI,AI,AT04-L|AI,2020-02-27 19:51:50,Y,N,HI,2020-02-28 01:52:00
HI,AI,LT04-L|AI,2020-02-29 03:03:50,Y,N,HI,2020-02-29 09:04:00
HI,AI,LT03-L|AI,2020-02-29 03:06:50,Y,N,HI,2020-02-29 09:07:00
HI,AI,LT02-L|AI,2020-02-29 21:09:50,Y,N,HI,2020-03-01 03:10:00
HI,AI,AT01-L|AI,2020-02-29 21:20:50,Y,N,HI,2020-03-01 03:21:00
HI,AI,LT01-L|AI,2020-03-01 16:16:50,Y,N,HI,2020-03-01 22:17:01
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-03-02 20:31:01
HI,AI,LT01-L|AI,2020-03-03 00:36:50,Y,N,HI,2020-03-03 06:37:00
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-03-03 19:31:01
HI,AI,LT01-L|AI,2020-03-03 15:00:50,Y,N,HI,2020-03-03 21:01:00
HI,AI,LT03-L|AI,2020-03-04 00:26:51,Y,N,HI,2020-03-04 06:27:02
HI,AI,LT03-L|AI,2020-03-04 04:29:50,Y,N,HI,2020-03-04 10:30:01
HI,AI,LT01-L|AI,2020-03-05 00:36:50,Y,N,HI,2020-03-05 06:37:00
HI,AI,AT03-L|AI,2020-03-05 06:19:00,Y,N,HI,2020-03-05 12:19:00
HI,AI,LT01-L|AI,2020-03-05 11:04:50,Y,N,HI,2020-03-05 17:05:00
HI,AI,LT02-L|AI,2020-03-05 17:42:50,Y,N,HI,2020-03-05 23:43:00
HI,AI,LT02-L|AI,2020-03-05 20:05:50,Y,N,HI,2020-03-06 02:06:00
HI,AI,LT03-L|AI,2020-03-05 21:48:50,Y,N,HI,2020-03-06 03:49:01
HI,AI,LT03-L|AI,2020-03-06 16:34:30,Y,N,HI,2020-03-06 22:35:01
HI,AI,LT04-L|AI,2020-03-06 17:40:43,Y,N,HI,2020-03-06 23:41:00
HI,AI,LT02-L|AI,2020-03-06 21:31:20,Y,N,HI,2020-03-07 03:32:01
HI,AI,AT01-L|AI,2020-03-06 23:33:30,Y,N,HI,2020-03-07 05:34:00
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-03-13 18:30:02
HI,AI,AT04-L|AI,2020-03-13 14:32:00,Y,N,HI,2020-03-13 19:33:00
HI,AI,AT03-L|AI,2020-03-13 23:01:50,Y,N,HI,2020-03-14 04:02:00
HI,AI,AT02-L|AI,2020-03-14 00:45:40,Y,N,HI,2020-03-14 05:46:01
HI,AI,LT01-L|AI,2020-03-14 09:53:10,Y,N,HI,2020-03-14 14:54:01
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-03-14 19:30:00
HI,AI,LT02-L|AI,2020-03-15 01:04:20,Y,N,HI,2020-03-15 06:05:00
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-03-15 19:31:00
HI,AI,LT04-L|AI,2020-03-17 10:59:40,Y,N,HI,2020-03-17 16:00:01
HI,AI,LT03-L|AI,2020-03-17 12:23:30,Y,N,HI,2020-03-17 17:24:01
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-03-17 18:31:01
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-03-18 17:31:01
HI,AI,LT02-L|AI,2020-03-18 12:54:24,Y,N,HI,2020-03-18 17:55:02
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-03-18 19:30:01
HI,AI,LT02-L|AI,2020-03-18 18:34:20,Y,N,HI,2020-03-18 23:35:00
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-03-19 17:31:01
HI,AI,LT01-L|AI,2020-03-19 19:55:10,Y,N,HI,2020-03-20 00:56:01
HI,AI,AT01-L|AI,2020-03-20 20:06:30,Y,N,HI,2020-03-21 01:07:00
HI,AI,AT01-L|AI,2020-03-20 23:12:30,Y,N,HI,2020-03-21 04:13:01
HI,AI,AT03-L|AI,2020-03-21 09:51:50,Y,N,HI,2020-03-21 14:52:01
HI,AI,AT02-L|AI,2020-03-21 10:52:40,Y,N,HI,2020-03-21 15:53:00
HI,AI,AT03-L|AI,2020-03-21 12:59:50,Y,N,HI,2020-03-21 18:00:00
HI,AI,X-SINE|AI,2020-03-21 16:25:00,Y,N,HI,2020-03-21 21:26:00
HI,AI,XSINE|AI,2020-03-21 17:08:00,Y,N,HI,2020-03-21 22:09:00
HI,AI,X-SINE|AI,2020-03-21 17:27:00,Y,N,HI,2020-03-21 22:28:00
HI,AI,X-SINE|AI,2020-03-21 18:02:00,Y,N,HI,2020-03-21 23:03:00
HI,AI,AT01-L|AI,2020-03-21 20:12:33,Y,N,HI,2020-03-22 01:13:00
HI,AI,XSINE|AI,2020-03-22 05:15:00,Y,N,HI,2020-03-22 10:15:01
HI,AI,XSINE|AI,2020-03-22 06:02:00,Y,N,HI,2020-03-22 11:03:02
HI,AI,AT02-L|AI,2020-03-22 10:07:40,Y,N,HI,2020-03-22 15:08:00
HI,AI,X-SINE|AI,2020-03-22 17:16:00,Y,N,HI,2020-03-22 22:17:01
HI,AI,X-SINE|AI,2020-03-22 18:03:00,Y,N,HI,2020-03-22 23:03:01
HI,AI,AT01-L|AI,2020-03-22 23:51:30,Y,N,HI,2020-03-23 04:52:00
HI,AI,XSINE|AI,2020-03-23 05:17:00,Y,N,HI,2020-03-23 10:17:01
HI,AI,XSINE|AI,2020-03-23 06:02:00,Y,N,HI,2020-03-23 11:03:00
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-03-23 17:31:02
HI,AI,AT04-L|AI,2020-03-23 13:57:00,Y,N,HI,2020-03-23 18:58:00
HI,AI,AT03-L|AI,2020-03-23 14:53:50,Y,N,HI,2020-03-23 19:54:00
HI,AI,X-SINE|AI,2020-03-23 17:15:00,Y,N,HI,2020-03-23 22:16:01
HI,AI,X-SINE|AI,2020-03-23 18:02:00,Y,N,HI,2020-03-23 23:03:01
HI,AI,XSINE|AI,2020-03-24 05:15:00,Y,N,HI,2020-03-24 10:16:01
HI,AI,XSINE|AI,2020-03-24 06:01:00,Y,N,HI,2020-03-24 11:02:02
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-03-24 16:31:01
HI,AI,DCT-0000|AI,2020-03-24 12:53:00,Y,N,HI,2020-03-24 19:01:00
HI,AI,XSINE|AI,2020-03-27 05:15:00,Y,N,HI,2020-03-27 10:16:00
HI,AI,AT02-L|AI,2020-03-27 05:56:40,Y,N,HI,2020-03-27 10:57:00
HI,AI,XSINE|AI,2020-03-27 06:01:00,Y,N,HI,2020-03-27 11:02:00
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-03-27 15:31:03
HI,AI,DCT-0000|AI,2020-03-27 11:53:00,Y,N,HI,2020-03-27 17:31:00
HI,AI,X-SINE|AI,2020-03-27 17:15:00,Y,N,HI,2020-03-27 22:16:00
HI,AI,X-SINE|AI,2020-03-27 18:01:00,Y,N,HI,2020-03-27 23:02:00
HI,AI,AT01-L|AI,2020-03-27 19:56:30,N,Y,HI,2020-03-28 00:57:00
HI,AI,AT04-L|AI,2020-03-27 20:54:00,N,Y,HI,2020-03-28 01:55:00
HI,AI,XSINE|AI,2020-03-28 05:16:00,Y,N,HI,2020-03-28 10:17:01
HI,AI,XSINE|AI,2020-03-28 06:02:00,Y,N,HI,2020-03-28 11:03:00
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-03-28 16:31:01
HI,AI,CTA-101|AI,NULL,Y,N,HI,2020-03-28 20:31:01
HI,AI,X-SINE|AI,2020-03-28 17:15:00,Y,N,HI,2020-03-28 22:16:00
HI,AI,X-SINE|AI,2020-03-28 18:01:00,Y,N,HI,2020-03-28 23:02:00
LL,AI,LT01-L|AI,2020-02-19 17:13:17,Y,N,LL,2020-02-19 23:14:19
LL,AI,LT02-L|AI,2020-02-19 17:13:17,Y,N,LL,2020-02-19 23:14:19
LL,AI,LT03-L|AI,2020-02-19 17:13:17,Y,N,LL,2020-02-19 23:14:19
LL,AI,LT04-L|AI,2020-02-19 17:13:17,Y,N,LL,2020-02-19 23:14:20
LL,AI,AT01-T|AI,2020-02-21 04:33:01,Y,N,LL,2020-02-21 10:34:01
LL,AI,AT02-T|AI,2020-02-21 04:37:00,Y,N,LL,2020-02-21 10:38:00
LL,AI,AT03-T|AI,2020-02-21 04:38:00,Y,N,LL,2020-02-21 10:39:00
LL,AI,AT04-T|AI,2020-02-21 04:40:25,Y,N,LL,2020-02-21 10:41:00
LL,AI,CT01-T|AI,2020-02-21 04:49:00,Y,N,LL,2020-02-21 10:50:01
LL,AI,CT02-T|AI,2020-02-21 04:51:00,Y,N,LL,2020-02-21 10:52:00
