Table,rel_tag_tag,,
ConstraintTable,ConstraintField,ConstraintEquivalence,
tag,id,name,parent_tag_id
tag,id,name,child_tag_id
Data,,,
parent_tag_id,child_tag_id,code
Crude,CT03,null
Crude,CT04,null
Crude,CT05,null
Crude,CT06,null
Crude,CT07,null
Crude,CT08,null
Crude,CT09,null
Crude,CT10,null
Crude,CT11,null
Crude,CT12,null
CrudeTK01,CT01-L,null
CrudeTK01,CT01-L,null
CrudeUnit,CT01,null
CrudeUnit,CT02,null
CrudeUnit,CT03,null
CrudeUnit,CT04,null
CrudeUnit,CT05,null
CrudeUnit,CT06,null
CrudeUnit,CT07,null
CrudeUnit,CT08,null
CrudeUnit,CT09,null
CrudeUnit,CT10,null
CrudeUnit,CT11,null
CrudeUnit,CT12,null
CrudeUnit,CT01-PoDI,null
CrudeUnit,CT05-PoDI,null
CrudeUnit,CT02-PoDI,null
CrudeUnit,CT06-PoDI,null
CrudeUnit,CT03-PoDI,null
CrudeUnit,CT07-PoDI,null
CrudeUnit,CT04-PoDI,null
CrudeUnit,CT08-PoDI,null
CrudeUnit,CT09-PoDI,null
CrudeUnit,CT10-PoDI,null
CrudeUnit,CT11-PoDI,null
CrudeUnit,CT12-PoDI,null
CrudeUnit,CT011-VoDI,null
CrudeUnit,CT012-VoDI,null
CrudeUnit,CT011-VoDI,null
CrudeUnit,CT021-VoDI,null
CrudeUnit,CT022-VoDI,null
CrudeUnit,CT011-VoDI,null
CrudeUnit,CT031-VoDI,null
CrudeUnit,CT032-VoDI,null
CrudeUnit,CT041-VoDI,null
CrudeUnit,CT042-VoDI,null
CrudeUnit,CT011-VoDI,null
CrudeUnit,CT051-VoDI,null
CrudeUnit,CT052-VoDI,null
CrudeUnit,CT061-VoDI,null
CrudeUnit,CT062-VoDI,null
CrudeUnit,CT071-VoDI,null
CrudeUnit,CT011-VoDI,null
CrudeUnit,CT072-VoDI,null
CrudeUnit,CT081-VoDI,null
CrudeUnit,CT082-VoDI,null
CrudeUnit,CT091-VoDI,null
CrudeUnit,CT092-VoDI,null
CrudeUnit,CT101-VoDI,null
CrudeUnit,CT102-VoDI,null
CrudeUnit,CT011-VoDI,null
CrudeUnit,CT111-VoDI,null
CrudeUnit,CT112-VoDI,null
CrudeUnit,CT121-VoDI,null
CrudeUnit,CT122-VoDI,null
CrudeUnit,Com011-DI,null
CrudeUnit,Com012-DI,null
CrudeUnit,Com013-DI,null
CrudeUnit,Com014-DI,null
CrudeUnit,Com015-DI,null
CrudeUnit,Com016-DI,null
CrudeUnit,Com021-DI,null
CrudeUnit,Com022-DI,null
CrudeUnit,Com023-DI,null
CrudeUnit,Com011-DI,null
CrudeUnit,Com024-DI,null
CrudeUnit,Com025-DI,null
CrudeUnit,Com026-DI,null
CT01,CT01-L,null
CT01,CT01-T,null
CT01,CT01-Pmp,OUTL
CT01,CT011-V,OUTL
CT01,CT012-V,OUTL
CT01,CT01-V,INL
CT01-Pmp,CT01-PoDI,null
CT01-Pmp,CT01-PoDO,null
CT01-V,CT01-ViDI,INL
CT01-V,CT01-ViDO,INL
CT011-V,CT011-VoDI,null
CT011-V,CT011-VoDO,null
CT012-V,CT012-VoDI,null
CT012-V,CT012-VoDO,null
CT02,CT02-L,null
CT02,CT02-T,null
CT02,CT02-Pmp,OUTL
CT02,CT021-V,OUTL
CT02,CT022-V,OUTL
CT02,CT02-V,INL
CT02-Pmp,CT02-PoDI,null
CT02-Pmp,CT02-PoDO,null
CT02-V,CT02-ViDI,INL
CT02-V,CT02-ViDO,INL
CT021-V,CT021-VoDI,null
CT021-V,CT021-VoDO,null
CT022-V,CT022-VoDI,null
CT022-V,CT022-VoDO,null
CT03,CT03-L,null
CT03,CT03-T,null
CT03,CT03-Pmp,OUTL
CT03,CT031-V,OUTL
CT03,CT032-V,OUTL
CT03,CT03-V,INL
CT03-Pmp,CT03-PoDI,null
CT03-Pmp,CT03-PoDO,null
CT03-V,CT03-ViDI,INL
CT03-V,CT03-ViDO,INL
CT031-V,CT031-VoDI,null
CT031-V,CT031-VoDO,null
CT032-V,CT032-VoDI,null
CT032-V,CT032-VoDO,null
CT04,CT04-L,null
CT04,CT04-T,null
CT04,CT04-Pmp,OUTL
CT04,CT041-V,OUTL
CT04,CT042-V,OUTL
CT04,CT04-V,INL
CT04-Pmp,CT04-PoDI,null
CT04-Pmp,CT04-PoDO,null
CT04-V,CT04-ViDI,INL
CT04-V,CT04-ViDO,INL
CT041-V,CT041-VoDI,null
CT041-V,CT041-VoDO,null
CT042-V,CT042-VoDI,null
CT042-V,CT042-VoDO,null
CT05,CT05-L,null
CT05,CT05-T,null
CT05,CT05-Pmp,OUTL
CT05,CT051-V,OUTL
CT05,CT052-V,OUTL
CT05,CT05-V,INL
CT05-Pmp,CT05-PoDI,null
CT05-Pmp,CT05-PoDO,null
CT05-V,CT05-ViDI,INL
CT05-V,CT05-ViDO,INL
CT051-V,CT051-VoDI,null
CT051-V,CT051-VoDO,null
CT052-V,CT052-VoDI,null
CT052-V,CT052-VoDO,null
CT06,CT06-L,null
CT06,CT06-T,null
CT06,CT06-Pmp,OUTL
CT06,CT061-V,OUTL
CT06,CT062-V,OUTL
CT06,CT06-V,INL
CT06-Pmp,CT06-PoDI,null
CT06-Pmp,CT06-PoDO,null
CT06-V,CT06-ViDI,INL
CT06-V,CT06-ViDO,INL
CT061-V,CT061-VoDI,null
CT061-V,CT061-VoDO,null
CT062-V,CT062-VoDI,null
CT062-V,CT062-VoDO,null
CT07,CT07-L,null
CT07,CT07-T,null
CT07,CT07-Pmp,OUTL
CT07,CT071-V,OUTL
CT07,CT072-V,OUTL
CT07,CT07-V,INL
CT07-Pmp,CT07-PoDI,null
CT07-Pmp,CT07-PoDO,null
CT07-V,CT07-ViDI,INL
CT07-V,CT07-ViDO,INL
CT071-V,CT071-VoDI,null
CT071-V,CT071-VoDO,null
CT072-V,CT072-VoDI,null
CT072-V,CT072-VoDO,null
CT08,CT08-L,null
CT08,CT08-T,null
CT08,CT08-Pmp,OUTL
CT08,CT081-V,OUTL
CT08,CT082-V,OUTL
CT08,CT08-V,INL
CT08-Pmp,CT08-PoDI,null
CT08-Pmp,CT08-PoDO,null
CT08-V,CT08-ViDI,INL
CT08-V,CT08-ViDO,INL
CT081-V,CT081-VoDI,null
CT081-V,CT081-VoDO,null
CT082-V,CT082-VoDI,null
CT082-V,CT082-VoDO,null
CT09,CT09-L,null
CT09,CT09-T,null
CT09,CT09-Pmp,OUTL
CT09,CT091-V,OUTL
CT09,CT092-V,OUTL
CT09,CT09-V,INL
CT09-Pmp,CT09-PoDI,null
CT09-Pmp,CT09-PoDO,null
CT09-V,CT09-ViDI,INL
CT09-V,CT09-ViDO,INL
CT091-V,CT091-VoDI,null
CT091-V,CT091-VoDO,null
CT092-V,CT092-VoDI,null
CT092-V,CT092-VoDO,null
CT10,CT10-L,null
CT10,CT10-T,null
CT10,CT10-Pmp,OUTL
CT10,CT101-V,OUTL
CT10,CT102-V,OUTL
CT10,CT10-V,INL
CT10-Pmp,CT10-PoDI,null
CT10-Pmp,CT10-PoDO,null
CT10-V,CT10-ViDI,INL
CT10-V,CT10-ViDO,INL
CT101-V,CT101-VoDI,null
CT101-V,CT101-VoDO,null
CT102-V,CT102-VoDI,null
CT102-V,CT102-VoDO,null
CT11,CT11-L,null
CT11,CT11-T,null
CT11,CT11-Pmp,OUTL
CT11,CT111-V,OUTL
CT11,CT112-V,OUTL
CT11,CT11-V,INL
CT11-Pmp,CT11-PoDI,null
CT11-Pmp,CT11-PoDO,null
CT11-V,CT11-ViDI,INL
CT11-V,CT11-ViDO,INL
CT111-V,CT111-VoDI,null
CT111-V,CT111-VoDO,null
CT112-V,CT112-VoDI,null
CT112-V,CT112-VoDO,null
CT12,CT12-L,null
CT12,CT12-T,null
CT12,CT12-Pmp,OUTL
CT12,CT121-V,OUTL
CT12,CT122-V,OUTL
CT12,CT12-V,INL
CT12-Pmp,CT12-PoDI,null
CT12-Pmp,CT12-PoDO,null
CT12-V,CT12-ViDI,INL
CT12-V,CT12-ViDO,INL
CT121-V,CT121-VoDI,null
CT121-V,CT121-VoDO,null
CT122-V,CT122-VoDI,null
CT122-V,CT122-VoDO,null
CT2RU1-P,RU1-2-DI,IN
CT2RU1a-P,RU1-3-DI,IN
CT2RU1b-P,RU1-4-DI,IN
CT2RU2-P,RU2-2-DI,IN
CT2RU2a-P,RU2-3-DI,IN
CT2RU2b-P,RU2-4-DI,IN
CTPipe01,CT01-PoDI,null
CTPipe011,CT011-VoDI,null
CTPipe012,CT012-VoDI,null
CTPipe02,CT02-PoDI,null
CTPipe021,CT021-VoDI,null
CTPipe022,CT022-VoDI,null
CTPipe03,CT03-PoDI,null
CTPipe031,CT031-VoDI,null
CTPipe032,CT032-VoDI,null
CTPipe04,CT04-PoDI,null
CTPipe041,CT041-VoDI,null
CTPipe042,CT042-VoDI,null
CTPipe05,CT05-PoDI,null
CTPipe051,CT051-VoDI,null
CTPipe052,CT052-VoDI,null
CTPipe06,CT06-PoDI,null
CTPipe061,CT061-VoDI,null
CTPipe062,CT062-VoDI,null
CTPipe07,CT07-PoDI,null
CTPipe071,CT071-VoDI,null
CTPipe072,CT072-VoDI,null
CTPipe08,CT08-PoDI,null
CTPipe081,CT081-VoDI,null
CTPipe082,CT082-VoDI,null
CTPipe09,CT09-PoDI,null
CTPipe091,CT091-VoDI,null
CTPipe092,CT092-VoDI,null
CTPipe10,CT10-PoDI,null
CTPipe101,CT101-VoDI,null
CTPipe102,CT102-VoDI,null
CTPipe11,CT11-PoDI,null
CTPipe111,CT111-VoDI,null
CTPipe112,CT112-VoDI,null
CTPipe12,CT12-PoDI,null
CTPipe121,CT121-VoDI,null
CTPipe122,CT122-VoDI,null
CTPmp011,CT01-PoDI,null
CTPmp011,CT01-PoDO,null
CTPmp021,CT02-PoDI,null
CTPmp021,CT02-PoDO,null
CTPmp031,CT03-PoDI,null
CTPmp031,CT03-PoDO,null
CTPmp041,CT04-PoDI,null
CTPmp041,CT04-PoDO,null
CTPmp051,CT05-PoDI,null
CTPmp051,CT05-PoDO,null
CTPmp061,CT06-PoDI,null
CTPmp061,CT06-PoDO,null
CTPmp071,CT07-PoDI,null
CTPmp071,CT07-PoDO,null
CTPmp081,CT08-PoDI,null
CTPmp081,CT08-PoDO,null
CTPmp091,CT09-PoDI,null
CTPmp091,CT09-PoDO,null
CTPmp101,CT10-PoDI,null
CTPmp101,CT10-PoDO,null
CTPmp111,CT11-PoDI,null
CTPmp111,CT11-PoDO,null
CTPmp121,CT12-PoDI,null
CTPmp121,CT12-PoDO,null
CTV011,CT011-VoDI,null
CTV011,CT011-VoDO,null
CTV012,CT012-VoDI,null
CTV012,CT012-VoDO,null
CTV021,CT021-VoDI,null
CTV021,CT021-VoDO,null
CTV022,CT022-VoDI,null
CTV022,CT022-VoDO,null
CTV031,CT031-VoDI,null
CTV031,CT031-VoDO,null
CTV032,CT032-VoDI,null
CTV032,CT032-VoDO,null
CTV041,CT041-VoDI,null
CTV041,CT041-VoDO,null
CTV042,CT042-VoDI,null
CTV042,CT042-VoDO,null
CTV051,CT051-VoDI,null
CTV051,CT051-VoDO,null
CTV052,CT052-VoDI,null
CTV052,CT052-VoDO,null
CTV061,CT061-VoDI,null
CTV061,CT061-VoDO,null
CTV062,CT062-VoDI,null
CTV062,CT062-VoDO,null
CTV071,CT071-VoDI,null
CTV071,CT071-VoDO,null
CTV072,CT072-VoDI,null
CTV072,CT072-VoDO,null
CTV081,CT081-VoDI,null
CTV081,CT081-VoDO,null
CTV082,CT082-VoDI,null
CTV082,CT082-VoDO,null
CTV091,CT091-VoDI,null
CTV091,CT091-VoDO,null
CTV092,CT092-VoDI,null
CTV092,CT092-VoDO,null
CTV101,CT101-VoDI,null
CTV101,CT101-VoDO,null
CTV102,CT102-VoDI,null
CTV102,CT102-VoDO,null
CTV111,CT111-VoDI,null
CTV111,CT111-VoDO,null
CTV112,CT112-VoDI,null
CTV112,CT112-VoDO,null
CTV121,CT121-VoDI,null
CTV121,CT121-VoDO,null
CTV122,CT122-VoDI,null
CTV122,CT122-VoDO,null
CurTemp,CTA-101,null
CV-0001,DCT-0000,1
D12-CV,Ship1-DI,1
D12-CV,Ship2-DI,2
D123-CV,Ship1-DI,1
D123-CV,Ship2-DI,2
D123-CV,,3
D1234-CV,Ship1-DI,1
D1234-CV,Ship2-DI,2
D1234-CV,,3
D1234-CV,Ship4-DI,4
DCT-0000,TFPRU1-1,null
DCT-0000,TFPRU2-1,null
DCT-0000,TFPCom011,null
DCT-0000,TFPCom021,null
DCT-0000,TFPCom012,null
DCT-0000,TFPCom022,null
DCT-0000,TFPCom013,null
DCT-0000,TFPCom023,null
DCT-0000,TFPRU2-2,null
DCT-0000,TFPRU1-2,null
DCT-0000,TFPCom014,null
DCT-0000,TFPCom015,null
DCT-0000,TFPCom016,null
DCT-0000,TFPCom024,null
DCT-0000,TFPCom025,null
DCT-0000,TFPCom026,null
DeCity,Crude,null
DeCity,Refined,null
DeCity,CT11,null
Delivery,CDShip1,null
Delivery,CDShip2,null
Delivery,CDShip3,null
Delivery,CDShip4,null
Delivery,CDC04,null
Delivery,CDC01,null
Delivery,CDC02,null
Delivery,CDC03,null
Delivery,CDC05,null
Delivery,CDC06,null
Delivery,CDC07,null
Delivery,CDC08,null
Delivery,CDC09,null
Delivery,CDC10,null
Delivery,CDC11,null
Delivery,CDC12,null
Delivery,CDP-D1-1,null
Delivery,CDP-D3-1,null
Delivery,CDP-D2-1,null
Delivery,CDP-D4-1,null
Delivery,CDVi01,null
Delivery,CDVi02,null
Delivery,CDVi03,null
Delivery,CDVi04,null
Delivery,CDVi05,null
Delivery,CDVi06,null
Delivery,CDVi07,null
Delivery,CDVi08,null
Delivery,CDVi09,null
Delivery,CDVi10,null
Delivery,CDVi11,null
Delivery,CDVi12,null
Delivery,CDP-D2-3,null
Delivery,CDP-D3-4,null
Delivery,CDP-D4-Tks,null
Delivery,CDP-CT01,null
Delivery,CDP-CT5,null
Delivery,CDP-CT05,null
Delivery,CDP-CT09,null
Delivery,CDP-CT02,null
Delivery,CDP-DCT-1,null
Delivery,CDP-DCT-2,null
Delivery,CDP-CT03,null
Delivery,CDP-CT04,null
Delivery,CDP-CT06,null
Delivery,CDP-CT07,null
Delivery,CDP-CT08,null
Delivery,CDP-CT10,null
Delivery,CDP-CT11,null
Delivery,CDP-CT12,null
DK11PoDI,DK11PoDO,OUT
DK12PoDI,DK12PoDO,OUT
DK13PoDI,DK13PoDO,OUT
DK14PoDI,DK14PoDO,OUT
DK21PoDI,DK21PoDO,OUT
DK22PoDI,DK22PoDO,OUT
DK23PoDI,DK23PoDO,OUT
DK24PoDI,DK24PoDO,OUT
DK31PoDI,DK31PoDO,OUT
DK32PoDI,DK32PoDO,OUT
DK33PoDI,DK33PoDO,OUT
DK34PoDI,DK34PoDO,OUT
DK41PoDI,DK41PoDO,OUT
DK42PoDI,DK42PoDO,OUT
DK43PoDI,DK43PoDO,OUT
DK44PoDI,DK44PoDO,OUT
Dock1,Dock1Stn1,STN
Dock1,Dock1Stn2,STN
Dock1,Dock1Stn3,STN
Dock1,Dock1Stn4,STN
Dock1,Ship1-DI,null
Dock1,S317,DK
Dock1,Ship1-DI,null
Dock1Stn1,DK1-1Pmp,PMP
Dock1Stn2,DK1-2Pmp,PMP
Dock1Stn3,DK1-3Pmp,PMP
Dock1Stn4,DK1-4Pmp,PMP
Dock2,Ship2-DI,null
Dock2,S316,DK
Dock2,Dock2Stn1,STN
Dock2,Dock2Stn2,STN
Dock2,Dock2Stn3,STN
Dock2,Dock2Stn4,STN
Dock2Stn1,DK2-1Pmp,PMP
Dock2Stn2,DK2-2Pmp,PMP
Dock2Stn3,DK2-3Pmp,PMP
Dock2Stn4,DK2-4Pmp,PMP
Dock3,,null
Dock3,Dock3Stn1,STN
Dock3,Dock3Stn2,STN
Dock3,Dock3Stn3,STN
Dock3,Dock3Stn4,STN
Dock3Stn1,DK3-1Pmp,null
Dock3Stn2,DK3-2Pmp,null
Dock3Stn3,DK3-3Pmp,null
Dock3Stn4,DK3-4Pmp,null
Dock4,Dock4Stn1,STN
Dock4,Dock4Stn2,STN
Dock4,Dock4Stn3,STN
Dock4,Dock4Stn4,STN
Dock4,Ship4-DI,null
Dock4Stn1,DK4-1Pmp,null
Dock4Stn2,DK4-2Pmp,null
Dock4Stn3,DK4-3Pmp,null
Dock4Stn4,DK4-4Pmp,null
FOT01,FOT01-L,null
FOT01,FOT01-T,null
FOT01,FOT01-Pmp,OUTL
FOT01,FOT01-Vo,OUTL
FOT01,FOT01-Vi,INL
FOT01-Pmp,FOT01-PoDI,OUTL
FOT01-Pmp,FOT01-PoDO,OUTL
FOT01-Vi,FOT01-ViDI,INL
FOT01-Vi,FOT01-ViDO,INL
FOT01-Vo,FOT01-VoDI,OUTL
FOT01-Vo,FOT01-VoDO,OUTL
FOT02,FOT02-L,null
FOT02,FOT02-T,null
FOT02,FOT02-Pmp,OUTL
FOT02,FOT02-Vo,OUTL
FOT02,FOT02-Vi,INL
FOT02-Pmp,FOT02-PoDI,null
FOT02-Pmp,FOT02-PoDO,null
FOT02-Vi,FOT02-ViDI,null
FOT02-Vi,FOT02-ViDO,null
FOT02-Vo,FOT02-VoDI,null
FOT02-Vo,FOT02-VoDO,null
FOT03,FOT03-L,null
FOT03,FOT03-T,null
FOT03,FOT03-Vi,INL
FOT03,FOT03-Vo,OUTL
FOT03,FOT03-Pmp,OUTL
FOT03-Pmp,FOT03-PoDI,OUTL
FOT03-Pmp,FOT03-PoDO,OUTL
FOT03-Vi,FOT03-ViDI,INL
FOT03-Vi,FOT03-ViDO,INL
FOT03-Vo,FOT03-VoDI,OUTL
FOT03-Vo,FOT03-VoDO,OUTL
FOT04,FOT04-L,null
FOT04,FOT04-T,null
FOT04,FOT04-Vi,INL
FOT04,FOT04-Vo,OUTL
FOT04,FOT04-Pmp,OUTL
FOT04-Pmp,FOT04-PoDI,OUTL
FOT04-Pmp,FOT04-PoDO,OUTL
FOT04-Vi,FOT04-ViDI,INL
FOT04-Vi,FOT04-ViDO,INL
FOT04-Vo,FOT04-VoDI,OUTL
FOT04-Vo,FOT04-VoDO,OUTL
FOT05,FOT05-L,null
FOT05,FOT05-T,null
FOT05,FOT05-Vi,INL
FOT05,FOT05-Vo,OUTL
FOT05,FOT05-Pmp,OUTL
FOT05-Pmp,FOT05-PoDI,OUTL
FOT05-Pmp,FOT05-PoDO,OUTL
FOT05-Vi,FOT05-ViDI,INL
FOT05-Vi,FOT05-ViDO,INL
FOT05-Vo,FOT05-VoDI,OUTL
FOT05-Vo,FOT05-VoDO,OUTL
FOT06,FOT06-L,null
FOT06,FOT06-T,null
FOT06,FOT06-Vi,INL
FOT06,FOT06-Vo,OUTL
FOT06,FOT06-Pmp,OUTL
FOT06-Pmp,FOT06-PoDI,OUTL
FOT06-Pmp,FOT06-PoDO,OUTL
FOT06-Vi,FOT06-ViDI,INL
FOT06-Vi,FOT06-ViDO,INL
FOT06-Vo,FOT06-VoDI,OUTL
FOT06-Vo,FOT06-VoDO,OUTL
FOT07,FOT07-L,null
FOT07,FOT07-T,null
FOT07,FOT07-Vi,INL
FOT07,FOT07-Vo,OUTL
FOT07,FOT07-Pmp,OUTL
FOT07-Pmp,FOT07-PoDI,OUTL
FOT07-Pmp,FOT07-PoDO,OUTL
FOT07-Vi,FOT07-ViDI,INL
FOT07-Vi,FOT07-ViDO,INL
FOT07-Vo,FOT07-VoDI,OUTL
FOT07-Vo,FOT07-VoDO,OUTL
FOT08,FOT08-L,null
FOT08,FOT08-T,null
FOT08,FOT08-Vi,INL
FOT08,FOT08-Vo,OUTL
FOT08,FOT08-Pmp,OUTL
FOT08-Pmp,FOT08-PoDI,OUTL
FOT08-Pmp,FOT08-PoDO,OUTL
FOT08-Vi,FOT08-ViDI,INL
FOT08-Vi,FOT08-ViDO,INL
FOT08-Vo,FOT08-VoDI,OUTL
FOT08-Vo,FOT08-VoDO,OUTL
FOT09,FOT09-L,null
FOT09,FOT09-T,null
FOT09,FOT09-Vi,INL
FOT09,FOT09-Vo,OUTL
FOT09,FOT09-Pmp,OUTL
FOT09-Pmp,FOT09-PoDI,OUTL
FOT09-Pmp,FOT09-PoDO,OUTL
FOT09-Vi,FOT09-ViDI,INL
FOT09-Vi,FOT09-ViDO,INL
FOT09-Vo,FOT09-VoDI,OUTL
FOT09-Vo,FOT09-VoDO,OUTL
FOT10,FOT10-L,null
FOT10,FOT10-T,null
FOT10,FOT10-Vi,INL
FOT10,FOT10-Vo,OUTL
FOT10,FOT10-Pmp,OUTL
FOT10-Pmp,FOT10-PoDI,OUTL
FOT10-Pmp,FOT10-PoDO,OUTL
FOT10-Vi,FOT10-ViDI,INL
FOT10-Vi,FOT10-ViDO,INL
FOT10-Vo,FOT10-VoDI,OUTL
FOT10-Vo,FOT10-VoDO,OUTL
FOT11,FOT11-L,null
FOT11,FOT11-T,null
FOT11,FOT11-Vi,INL
FOT11,FOT11-Vo,OUTL
FOT11,FOT11-Pmp,OUTL
FOT11-Pmp,FOT11-PoDI,OUTL
FOT11-Pmp,FOT11-PoDO,OUTL
FOT11-Vi,FOT11-ViDI,INL
FOT11-Vi,FOT11-ViDO,INL
FOT11-Vo,FOT11-VoDI,OUTL
FOT11-Vo,FOT11-VoDO,OUTL
FOUnit,FOT03,null
FOUnit,FOT04,null
FOUnit,FOT05,null
FOUnit,FOT06,null
FOUnit,FOT07,null
FOUnit,FOT08,null
FOUnit,FOT09,null
FOUnit,FOT10,null
FOUnit,FOT11,null
FOUnit,FOT01,null
FOUnit,FOT02,null
FuelOils,FOT01,null
FuelOils,FOT02,null
FuelOils,FOT03,null
FuelOils,FOT04,null
FuelOils,FOT05,null
FuelOils,FOT06,null
FuelOils,FOT07,null
FuelOils,FOT08,null
FuelOils,FOT09,null
FuelOils,FOT10,null
FuelOils,FOT11,null
Gasoline,GT01,null
Gasoline,GT02,null
Gasoline,GT03,null
Gasoline,GT04,null
Gasoline,GT05,null
Gasoline,GT06,null
Gasoline,GT07,null
Gasoline,GT08,null
Gasoline,GT09,null
Gasoline,GT10,null
Gasoline,GT11,null
Gasoline,GT12,null
Gasoline,GT13,null
Gasoline,GT14,null
Gasoline,GT15,null
GasoUnit,GT05,null
GasoUnit,GT06,null
GasoUnit,GT07,null
GasoUnit,GT08,null
GasoUnit,GT09,null
GasoUnit,GT10,null
GasoUnit,GT11,null
GasoUnit,GT12,null
GasoUnit,GT13,null
GasoUnit,GT14,null
